city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90001,370000,1844.0,5.0,3.0
Los Angeles,CA,90001,317000,833.0,3.0,1.0
Los Angeles,CA,90001,325000,784.0,2.0,1.0
Los Angeles,CA,90001,500000,1248.0,0.0,NA
Los Angeles,CA,90001,79000,1152.0,3.0,2.0
Los Angeles,CA,90001,599000,2304.0,0.0,NA
Los Angeles,CA,90001,359000,762.0,2.0,1.0
Los Angeles,CA,90001,379999,1062.0,3.0,2.0
Los Angeles,CA,90001,331250,1039.0,6.0,3.0
Los Angeles,CA,90001,330000,886.0,3.0,1.0
Los Angeles,CA,90001,379000,1480.0,4.0,2.0
Los Angeles,CA,90001,475000,1602.0,3.0,2.0
Los Angeles,CA,90001,462000,2460.0,5.0,4.0
Los Angeles,CA,90001,359900,1159.0,3.0,2.0
Los Angeles,CA,90001,380000,1882.0,0.0,NA
Los Angeles,CA,90001,340000,1008.0,3.0,1.0
Los Angeles,CA,90001,364900,784.0,2.0,1.0
Los Angeles,CA,90001,288000,876.0,2.0,1.0
Los Angeles,CA,90001,375000,1184.0,4.0,2.0
Los Angeles,CA,90001,400000,1500.0,4.0,3.0
Los Angeles,CA,90001,339000,1320.0,3.0,1.0
Los Angeles,CA,90001,450000,1246.0,3.0,2.0
Los Angeles,CA,90001,679000,2226.0,0.0,NA
Los Angeles,CA,90001,449900,1760.0,0.0,NA
Los Angeles,CA,90001,199000,3375.0,NA,NA
Los Angeles,CA,90001,395888,1558.0,4.0,2.0
Los Angeles,CA,90001,393000,1820.0,5.0,2.0
Los Angeles,CA,90001,650000,2022.0,6.0,3.0
Los Angeles,CA,90001,599900,2616.0,0,NA
Los Angeles,CA,90001,484777,1699.0,4.0,2.0
Los Angeles,CA,90001,499900,1936.0,4.0,2.0
Los Angeles,CA,90001,750000,3048.0,0,NA
Los Angeles,CA,90001,395000,1548.0,0,NA
Los Angeles,CA,90001,745000,3232.0,0,NA
Los Angeles,CA,90001,440000,1448.0,0,NA
Los Angeles,CA,90001,389000,1000.0,3.0,1.0
Los Angeles,CA,90001,199000,3375.0,NA,NA
Los Angeles,CA,90001,499000,1936.0,0,NA
Los Angeles,CA,90001,475000,2568.0,0,NA
Los Angeles,CA,90001,750000,3600.0,0,NA
Los Angeles,CA,90001,799000,1865.0,0,NA
Los Angeles,CA,90001,499900,1936.0,4.0,2.0
Los Angeles,CA,90001,475000,1580.0,0,NA
Los Angeles,CA,90001,475000,1665.0,0,NA
Los Angeles,CA,90001,485000,1500.0,0,NA
Los Angeles,CA,90001,450000,1320.0,0,NA
Los Angeles,CA,90001,NA,942.0,3.0,1.0
Los Angeles,CA,90001,NA,2394.0,5.0,2.0
Los Angeles,CA,90001,NA,978.0,2.0,1.0
Los Angeles,CA,90001,NA,936.0,3.0,1.0
Los Angeles,CA,90001,NA,1104.0,2.0,1.0
Los Angeles,CA,90001,NA,1824.0,5.0,4.0
Los Angeles,CA,90001,NA,1179.0,3.0,2.0
Los Angeles,CA,90001,NA,1349.0,3.0,2.0
Los Angeles,CA,90001,NA,1155.0,3.0,2.0
Los Angeles,CA,90001,NA,1155.0,2.0,1.0
Los Angeles,CA,90001,NA,1320.0,3.0,1.0
Los Angeles,CA,90001,NA,1126.0,2.0,1.0
Los Angeles,CA,90001,NA,2636.0,6.0,3.0
Los Angeles,CA,90001,NA,1300.0,3.0,2.0
Los Angeles,CA,90001,NA,748.0,2.0,1.0
Los Angeles,CA,90001,NA,560.0,2.0,1.0
Los Angeles,CA,90001,NA,978.0,2.0,1.0
Los Angeles,CA,90001,NA,886.0,3.0,1.0
Los Angeles,CA,90001,NA,1152.0,3.0,2.0
Los Angeles,CA,90001,NA,958.0,2.0,1.0
Los Angeles,CA,90001,NA,1600.0,3.0,2.0
Los Angeles,CA,90001,NA,2819.0,6.0,3.0
Los Angeles,CA,90001,NA,2932.0,8.0,4.0
Los Angeles,CA,90001,NA,2394.0,5.0,2.0
Los Angeles,CA,90001,NA,1022.0,2.0,1.0
Los Angeles,CA,90001,NA,942.0,3.0,1.0
Los Angeles,CA,90001,NA,876.0,2.0,1.0
Los Angeles,CA,90001,NA,936.0,3.0,1.0
Los Angeles,CA,90001,NA,1872.0,3.0,3.0
Los Angeles,CA,90001,NA,886.0,3.0,1.0
Los Angeles,CA,90001,NA,560.0,2.0,1.0
Los Angeles,CA,90001,NA,1519.0,4.0,2.0
Los Angeles,CA,90001,NA,1126.0,2.0,1.0
Los Angeles,CA,90001,360000,1260.0,0,NA
Los Angeles,CA,90001,NA,1368.0,3.0,3.0
Los Angeles,CA,90001,NA,2050.0,6.0,4.0
Los Angeles,CA,90001,NA,2803.0,2.0,1.0
Los Angeles,CA,90001,NA,1210.0,3.0,1.0
Los Angeles,CA,90001,NA,1172.0,4.0,2.0
Los Angeles,CA,90001,NA,960.0,3.0,1.0
Los Angeles,CA,90001,NA,624.0,2.0,1.0
Los Angeles,CA,90001,NA,2632.0,6.0,3.0
Los Angeles,CA,90001,NA,912.0,2.0,1.0
Los Angeles,CA,90001,NA,1314.0,3.0,2.0
Los Angeles,CA,90002,389000,1421.0,3.0,1.0
Los Angeles,CA,90002,335000,1240.0,3.0,1.0
Los Angeles,CA,90002,329900,798.0,2.0,1.0
Los Angeles,CA,90002,319900,722.0,2.0,1.0
Los Angeles,CA,90002,450000,1514.0,4.0,2.0
Los Angeles,CA,90002,568000,1900.0,5.0,3.0
Los Angeles,CA,90002,400000,1618.0,5.0,2.0
Los Angeles,CA,90002,399000,979.0,3.0,2.0
Los Angeles,CA,90002,399900,1278.0,3.0,2.0
Los Angeles,CA,90002,725000,3200.0,0,NA
Los Angeles,CA,90002,315000,810.0,2.0,1.0
Los Angeles,CA,90002,380000,1672.0,2.0,2.0
Los Angeles,CA,90002,350000,952.0,2.0,1.0
Los Angeles,CA,90002,350000,816.0,2.0,1.0
Los Angeles,CA,90002,369000,1083.0,3.0,2.0
Los Angeles,CA,90002,375000,1001.0,2.0,1.0
Los Angeles,CA,90002,475000,1836.0,6.0,3.0
Los Angeles,CA,90002,350000,1163.0,3.0,3.0
Los Angeles,CA,90002,629000,2491.0,0,NA
Los Angeles,CA,90002,375000,1402.0,4.0,2.0
Los Angeles,CA,90002,440000,1670.0,0,NA
Los Angeles,CA,90002,545000,2175.0,3.0,2.0
Los Angeles,CA,90002,262000,860.0,2.0,2.0
Los Angeles,CA,90002,551000,3123.0,0,NA
Los Angeles,CA,90002,356000,1650.0,4.0,2.0
Los Angeles,CA,90002,485000,2517.0,7.0,4.0
Los Angeles,CA,90002,280000,674.0,2.0,1.0
Los Angeles,CA,90002,389000,1500.0,4.0,3.0
Los Angeles,CA,90002,275000,662.0,2.0,1.0
Los Angeles,CA,90002,399900,2163.0,4.0,3.0
Los Angeles,CA,90002,346000,1436.0,3.0,1.0
Los Angeles,CA,90002,323000,1194.0,1.0,1.0
Los Angeles,CA,90002,339000,1045.0,2.0,1.0
Los Angeles,CA,90002,286000,744.0,2.0,1.0
Los Angeles,CA,90002,361000,1454.0,4.0,2.0
Los Angeles,CA,90002,324000,936.0,2.0,2.0
Los Angeles,CA,90002,324000,1140.0,3.0,1.0
Los Angeles,CA,90002,449000,1884.0,4.0,2.0
Los Angeles,CA,90002,365000,1900.0,3.0,2.0
Los Angeles,CA,90002,298000,990.0,2.0,1.0
Los Angeles,CA,90002,351000,1367.0,3.0,2.0
Los Angeles,CA,90002,339000,1235.0,4.0,2.0
Los Angeles,CA,90002,335000,972.0,3.0,1.0
Los Angeles,CA,90002,399999,1629.0,0,NA
