price,sqft,bedrooms,bathrooms
370000.0,1844.0,5.0,3.0
317000.0,833.0,3.0,1.0
325000.0,784.0,2.0,1.0
79000.0,1152.0,3.0,2.0
359000.0,762.0,2.0,1.0
379999.0,1062.0,3.0,2.0
331250.0,1039.0,6.0,3.0
330000.0,886.0,3.0,1.0
379000.0,1480.0,4.0,2.0
475000.0,1602.0,3.0,2.0
462000.0,2460.0,5.0,4.0
359900.0,1159.0,3.0,2.0
340000.0,1008.0,3.0,1.0
364900.0,784.0,2.0,1.0
288000.0,876.0,2.0,1.0
375000.0,1184.0,4.0,2.0
400000.0,1500.0,4.0,3.0
339000.0,1320.0,3.0,1.0
450000.0,1246.0,3.0,2.0
395888.0,1558.0,4.0,2.0
393000.0,1820.0,5.0,2.0
650000.0,2022.0,6.0,3.0
484777.0,1699.0,4.0,2.0
499900.0,1936.0,4.0,2.0
389000.0,1000.0,3.0,1.0
499900.0,1936.0,4.0,2.0
389000.0,1421.0,3.0,1.0
335000.0,1240.0,3.0,1.0
329900.0,798.0,2.0,1.0
319900.0,722.0,2.0,1.0
450000.0,1514.0,4.0,2.0
568000.0,1900.0,5.0,3.0
400000.0,1618.0,5.0,2.0
399000.0,979.0,3.0,2.0
399900.0,1278.0,3.0,2.0
315000.0,810.0,2.0,1.0
380000.0,1672.0,2.0,2.0
350000.0,952.0,2.0,1.0
350000.0,816.0,2.0,1.0
369000.0,1083.0,3.0,2.0
375000.0,1001.0,2.0,1.0
475000.0,1836.0,6.0,3.0
350000.0,1163.0,3.0,3.0
375000.0,1402.0,4.0,2.0
545000.0,2175.0,3.0,2.0
262000.0,860.0,2.0,2.0
356000.0,1650.0,4.0,2.0
485000.0,2517.0,7.0,4.0
280000.0,674.0,2.0,1.0
389000.0,1500.0,4.0,3.0
275000.0,662.0,2.0,1.0
399900.0,2163.0,4.0,3.0
346000.0,1436.0,3.0,1.0
323000.0,1194.0,1.0,1.0
339000.0,1045.0,2.0,1.0
286000.0,744.0,2.0,1.0
361000.0,1454.0,4.0,2.0
324000.0,936.0,2.0,2.0
324000.0,1140.0,3.0,1.0
449000.0,1884.0,4.0,2.0
365000.0,1900.0,3.0,2.0
298000.0,990.0,2.0,1.0
351000.0,1367.0,3.0,2.0
339000.0,1235.0,4.0,2.0
335000.0,972.0,3.0,1.0
389000.0,1500.0,4.0,3.0
382000.0,1694.0,4.0,2.0
287000.0,844.0,2.0,1.0
435000.0,2280.0,6.0,4.0
314998.0,899.0,3.0,2.0
405000.0,1239.0,4.0,2.0
380000.0,1308.0,4.0,1.0
351000.0,1350.0,4.0,2.0
419900.0,972.0,3.0,1.0
400000.0,1350.0,4.0,2.0
349000.0,1262.0,3.0,2.0
335000.0,972.0,3.0,1.0
399000.0,1527.0,4.0,2.0
311000.0,972.0,2.0,1.0
314900.0,828.0,2.0,1.0
545000.0,3310.0,6.0,4.0
359000.0,971.0,2.0,1.0
460000.0,1736.0,4.0,3.0
335000.0,709.0,2.0,1.0
540000.0,1939.0,5.0,4.0
335750.0,689.0,2.0,1.0
384500.0,941.0,3.0,2.0
449500.0,1400.0,4.0,2.0
499000.0,2076.0,5.0,2.0
332000.0,1229.0,2.0,1.0
369999.0,1000.0,3.0,1.0
400000.0,1600.0,5.0,2.0
370000.0,1072.0,2.0,1.0
440000.0,1560.0,4.0,2.0
349999.0,960.0,2.0,1.0
429900.0,1315.0,3.0,2.0
600000.0,2821.0,4.0,2.0
585000.0,2737.0,3.0,2.0
625000.0,2660.0,3.0,2.0
194750.0,1612.0,4.0,2.0
170000.0,946.0,2.0,1.0
169500.0,320.0,1.0,1.0
380000.0,1466.0,4.0,2.0
563000.0,2874.0,4.0,2.0
662000.0,3648.0,5.0,5.0
428000.0,1952.0,7.0,2.0
279000.0,561.0,2.0,1.0
314995.0,828.0,2.0,1.0
290000.0,1025.0,2.0,1.0
390000.0,1880.0,4.0,3.0
375000.0,1266.0,3.0,3.0
483000.0,2285.0,6.0,3.0
316000.0,1080.0,4.0,1.0
320000.0,896.0,2.0,1.0
376000.0,1420.0,3.0,2.0
350000.0,1441.0,2.0,2.0
329000.0,1179.0,2.0,1.0
320000.0,964.0,2.0,1.0
349900.0,1474.0,3.0,3.0
325000.0,896.0,2.0,1.0
397000.0,1212.0,4.0,3.0
365000.0,1608.0,2.0,1.0
415000.0,1489.0,4.0,2.0
420000.0,1398.0,4.0,4.0
535000.0,2332.0,6.0,4.0
340000.0,1196.0,3.0,1.0
425000.0,1188.0,3.0,2.0
420000.0,1324.0,4.0,2.0
465000.0,1395.0,4.0,2.0
385000.0,1172.0,3.0,2.0
430000.0,1323.0,4.0,2.0
560000.0,2021.0,2.0,2.0
415000.0,1392.0,3.0,2.0
599000.0,2931.0,6.0,4.0
320000.0,1076.0,3.0,1.0
635000.0,2120.0,4.0,3.0
365000.0,960.0,3.0,1.0
1450000.0,1418.0,2.0,2.0
1300000.0,1984.0,5.0,3.0
825000.0,1019.0,3.0,2.0
1799000.0,1930.0,3.0,2.0
999000.0,2018.0,4.0,2.0
895000.0,1810.0,3.0,3.0
437000.0,800.0,1.0,1.0
2000000.0,1616.0,3.0,3.0
3250000.0,3200.0,5.0,4.0
1250000.0,400.0,5.0,2.0
4295000.0,5070.0,5.0,6.0
1380000.0,2684.0,4.0,2.0
899000.0,2648.0,7.0,4.0
1040000.0,3612.0,4.0,4.0
678000.0,754.0,2.0,1.0
880000.0,1203.0,3.0,2.0
549000.0,1300.0,2.0,3.0
1885000.0,2422.0,4.0,3.0
999900.0,3716.0,7.0,5.0
1800000.0,3385.0,4.0,5.0
2050000.0,3087.0,5.0,3.0
619000.0,1117.0,2.0,2.0
989000.0,1718.0,2.0,2.0
1150000.0,1890.0,4.0,2.0
3399000.0,3584.0,5.0,3.0
1985000.0,2637.0,4.0,3.0
749000.0,1900.0,2.0,2.0
1350000.0,1200.0,2.0,1.0
1800000.0,3385.0,4.0,5.0
675000.0,1320.0,2.0,2.0
2990000.0,4400.0,4.0,5.0
2599500.0,3329.0,5.0,4.5
649000.0,1357.0,1.0,2.0
597000.0,1089.0,1.0,2.0
809000.0,1775.0,3.0,2.0
3449000.0,3872.0,4.0,4.0
1000000.0,1584.0,3.0,1.0
799000.0,2327.0,4.0,3.0
1598000.0,3132.0,6.0,3.0
1300000.0,1750.0,3.0,2.0
1500000.0,1990.0,3.0,2.0
3200000.0,3500.0,5.0,4.0
1750000.0,3372.0,5.0,4.0
1100000.0,1780.0,3.0,2.0
1625000.0,3257.0,5.0,4.0
570000.0,1370.0,2.0,2.0
599000.0,1322.0,2.0,2.0
7295000.0,5753.0,6.0,7.0
530000.0,920.0,2.0,2.0
552000.0,1200.0,2.0,2.0
623000.0,1586.0,2.0,2.0
566000.0,1090.0,2.0,2.0
1495000.0,4100.0,6.0,6.0
1150000.0,1903.0,2.0,3.0
545000.0,942.0,2.0,2.0
699000.0,1460.0,3.0,3.0
1039900.0,1410.0,3.0,3.0
759000.0,1550.0,3.0,2.0
659000.0,1340.0,3.0,2.0
749000.0,1509.0,3.0,2.0
789000.0,1862.0,3.0,3.0
2350000.0,2774.0,5.0,3.0
850000.0,1860.0,3.0,3.0
1190000.0,2040.0,3.0,4.0
1800000.0,2818.0,4.0,3.0
199000.0,280.0,0.0,1.0
989000.0,2162.0,4.0,2.0
735750.0,1327.0,3.0,2.0
595000.0,1250.0,2.0,2.0
580000.0,1248.0,2.0,2.0
649750.0,1240.0,2.0,2.0
1090000.0,2853.0,6.0,4.0
899000.0,1680.0,4.0,3.0
733000.0,2202.0,4.0,2.0
627000.0,1820.0,4.0,3.0
1317000.0,2603.0,7.0,7.0
655000.0,1282.0,3.0,2.0
575000.0,1260.0,3.0,2.0
1200000.0,2478.0,4.0,3.0
664000.0,1316.0,2.0,2.0
1150000.0,1575.0,3.0,3.0
1600000.0,880.0,7.0,5.0
699750.0,1327.0,3.0,2.0
870000.0,1360.0,3.0,2.0
958000.0,2858.0,6.0,5.0
638000.0,1370.0,3.0,2.0
899500.0,2655.0,5.0,4.0
709000.0,1383.0,3.0,2.0
1373000.0,3050.0,6.0,4.0
830000.0,3164.0,4.0,4.0
929900.0,3482.0,7.0,3.0
815000.0,2067.0,5.0,5.0
1099000.0,3382.0,4.0,3.0
1090000.0,840.0,2.0,1.0
1275000.0,448.0,2.0,2.0
1399000.0,3540.0,6.0,4.0
1097900.0,3492.0,7.0,4.0
950000.0,2627.0,6.0,3.0
659000.0,2680.0,2.0,2.0
1399000.0,4380.0,4.0,4.0
799000.0,2589.0,5.0,2.0
750000.0,2635.0,6.0,2.0
560000.0,1050.0,3.0,2.0
651000.0,2078.0,3.0,2.0
1190000.0,2236.0,5.0,4.0
650000.0,1036.0,2.0,1.0
900000.0,3061.0,5.0,3.0
605000.0,1582.0,4.0,2.0
800000.0,2700.0,5.0,4.0
700000.0,1633.0,5.0,3.0
729000.0,3807.0,6.0,4.0
739000.0,2628.0,4.0,4.0
979990.0,3456.0,7.0,4.0
1380000.0,4104.0,6.0,5.0
995000.0,3032.0,5.0,3.0
689900.0,1452.0,4.0,3.0
849000.0,1589.0,4.0,2.0
458999.0,1100.0,2.0,2.0
540000.0,1150.0,2.0,2.0
675000.0,1396.0,3.0,2.0
785990.0,2543.0,4.0,2.0
875000.0,2113.0,3.0,2.0
475000.0,1134.0,2.0,1.0
676000.0,1684.0,2.0,2.0
1995000.0,5179.0,4.0,5.0
1188000.0,2056.0,3.0,3.0
1300000.0,4024.0,4.0,4.0
646000.0,1851.0,2.0,2.0
1170000.0,3646.0,4.0,3.0
678888.0,1594.0,2.0,2.0
790000.0,1151.0,3.0,1.0
769950.0,1608.0,3.0,2.0
478000.0,1020.0,2.0,2.0
708900.0,1311.0,2.0,2.0
735000.0,1536.0,3.0,2.0
1049000.0,2153.0,4.0,3.0
499000.0,936.0,2.0,1.0
765000.0,1570.0,3.0,2.0
573999.0,1254.0,2.0,2.0
1153000.0,3004.0,3.0,3.0
749000.0,2380.0,4.0,2.0
734900.0,1643.0,3.0,2.0
1999999.0,3897.0,4.0,4.0
889000.0,1430.0,2.0,2.0
557000.0,910.0,2.0,2.0
695000.0,1290.0,2.0,2.0
1299500.0,1700.0,3.0,3.0
1995000.0,2481.0,3.0,4.0
589000.0,830.0,1.0,1.0
1389000.0,2690.0,3.0,4.0
2500000.0,2810.0,3.0,4.0
1695000.0,2553.0,3.0,3.0
659000.0,1010.0,2.0,2.0
190000.0,800.0,2.0,2.0
330000.0,1712.0,4.0,2.0
270000.0,616.0,2.0,1.0
325000.0,1179.0,2.0,1.0
565000.0,110.0,5.0,3.0
435000.0,1528.0,4.0,2.0
400000.0,1086.0,3.0,1.0
500900.0,1846.0,3.0,1.0
449900.0,1848.0,5.0,3.0
428000.0,2170.0,7.0,4.0
419990.0,1778.0,4.0,3.0
450000.0,2101.0,6.0,2.0
389000.0,910.0,2.0,1.0
495000.0,2065.0,6.0,3.0
525000.0,1114.0,4.0,3.0
500000.0,1150.0,2.0,1.0
700000.0,2302.0,3.0,2.0
369999.0,1248.0,3.0,2.0
288000.0,780.0,2.0,2.0
385000.0,1761.0,3.0,1.0
520000.0,2558.0,5.0,4.0
399900.0,1056.0,5.0,3.0
349900.0,1113.0,3.0,2.0
281000.0,766.0,1.0,1.0
456000.0,1616.0,2.0,2.0
365500.0,1140.0,2.0,1.0
469000.0,1544.0,4.0,2.0
394800.0,1296.0,3.0,2.0
520000.0,1775.0,2.0,1.0
350000.0,1052.0,2.0,1.0
407000.0,1210.0,4.0,2.0
700000.0,1638.0,3.0,1.0
529000.0,1453.0,4.0,2.0
548000.0,2900.0,6.0,4.0
620000.0,1400.0,5.0,4.0
600000.0,1593.0,5.0,3.0
529000.0,1500.0,4.0,2.0
649000.0,3124.0,5.0,5.0
